,,,,,INFORMACIÓN DEL CLIENTE,,,,,,,,,,,,,
ESTADO DE LA OPERACIÓN,,,,,,,Permanencia,,,,,,,,,,,
Identificación,,Días de,Estado de,,Actividad,Saldo de la,en la,Número de,Monto del,Tasa de,Ingreso,,Frecuencia,Dependencia,Tipo de,Profesión del,Bienes,
del crédito,Saldo vigente,atraso,crédito,,económica,cuota,vivienda,cuotas,crédito,interés,mensual,Sexo,de pago,ocupacional,cuota,cliente,raíces,Automóviles
60,"9492,02 ",0,0,,10,100.41,120,36,18000,22,"199,71",2,1,1,2,3,0,0
61,"9492,02 ",0,0,,10,100.41,132,36,18000,22,"286,94",2,1,1,2,4,0,0
62,"10676,57 ",0,0,,9,77.51,60,30,14000,10,"377,58",2,1,1,2,3,0,0
63,"8737,81 ",0,0,,5,99.03,6,36,17000,24,"248,50",1,1,2,2,4,0,0
64,"7076,49 ",0,0,,8,118.7,24,24,14000,32,"303,20",2,1,2,2,4,0,0
65,"7076,49 ",0,0,,8,118.7,24,24,14000,32,"303,20",2,1,2,2,4,0,0
66,"51458,70 ",0,0,,6,293.55,36,36,55000,19,"610,55",2,1,2,2,4,0,0
67,"538,71 ",0,0,,6,79.94,60,18,8000,26,"384,64",2,1,2,2,4,0,0
68,"6522,20 ",0,0,,6,116.45,36,24,15000,"24,5","964,55",1,1,2,2,4,0,0
69,"9812,97 ",16,0,,3,88.82,120,36,15000,26,"855,53",1,1,2,2,4,0,0
70,"47281,36 ",0,0,,3,381.51,132,36,69700,20,"925,00",1,1,2,2,4,0,0
71,"47281,36 ",0,0,,3,381.51,120,36,69700,20,"752,00",1,1,2,2,5,0,0
72,"1668,24 ",258,1,,6,185.8,12,24,3500,"21,86","589,95",1,1,2,2,4,0,0
73,"3530,37 ",0,0,,8,107.63,12,36,20000,"16,28","418,12",1,1,1,2,3,0,0
74,"882,62 ",0,0,,8,26.91,12,36,5000,"15,01","418,12",1,1,1,2,3,0,0
75,"23693,22 ",0,0,,8,205.53,240,36,35000,"25,5","740,00",1,1,2,2,5,0,1
76,"21000,00 ",0,0,,6,124.31,144,36,21000,"25,5","337,51",2,1,2,2,4,0,0
77,"19714,73 ",0,0,,10,77.85,120,60,20000,20,"337,57",2,1,1,2,3,0,0
78,"33537,97 ",0,0,,10,187.05,168,36,35000,19,"1393,00",1,1,2,2,5,0,1
79,"1428,02 ",0,0,,3,194.47,120,36,5000,"15,92","598,68",1,1,2,2,5,0,0
80,"42704,58 ",0,0,,10,241.36,6,42,49000,20,"833,65",1,1,1,2,3,0,1
81,"33632,92 ",0,0,,8,187.58,240,36,35100,19,"445,99",1,1,2,2,4,0,1
82,"7537,26 ",0,0,,3,113.83,24,24,15000,22,"2609,86",2,1,2,2,5,0,0
83,"7537,26 ",0,0,,3,113.83,29,24,15000,22,"1923,27",2,1,2,2,4,0,0
84,"32746,43 ",0,0,,3,186.81,24,36,35000,19,"2609,86",2,1,2,2,5,0,0
85,"32746,43 ",0,0,,3,186.81,29,36,35000,19,"1923,27",2,1,2,2,4,0,0
86,"12836,34 ",0,0,,6,100.34,12,36,17000,"25,5","291,79",2,1,2,2,4,0,0
87,"10213,42 ",0,0,,6,166.49,240,24,21000,"25,5","1130,09",1,1,2,2,4,0,0
88,"1331,43 ",0,0,,10,67.19,120,24,8500,25,"385,65",2,1,2,2,4,0,0
89,"87486,22 ",0,0,,3,487.92,78,36,91300,19,"5339,00",2,1,2,2,4,0,0
90,"87486,22 ",0,0,,3,487.92,76,36,91300,19,"5617,00",2,1,2,2,4,0,0
91,"33118,85 ",0,0,,8,222.17,24,36,41000,"19,5","1124,00",1,1,2,2,2,0,1
92,"3519,13 ",0,0,,8,357.22,180,36,9200,"17,95","2420,33",1,1,2,2,5,0,1
93,"40245,79 ",0,0,,3,224.44,180,36,42000,19,"728,44",2,1,2,2,4,0,0
94,"6582,21 ",447,1,,10,65.07,240,36,12000,"15,94","346,00",2,1,1,2,3,0,0
95,"29986,58 ",0,0,,8,229.05,60,36,42000,"19,5","642,00",1,1,2,2,5,0,1
96,"60000,00 ",0,0,,8,270.02,12,48,60000,20,"678,16",1,1,2,2,5,0,1
97,"2547,40 ",0,0,,8,145.7,228,60,6000,"15,5","1672,00",1,1,2,2,4,0,1
98,"22139,50 ",0,0,,8,169.16,228,60,48000,"13,43","1672,00",1,1,2,2,4,0,1
99,"1454,81 ",172,1,,8,99.29,228,36,2500,"21,37","1672,00",1,1,2,2,4,0,1
100,"892,12 ",0,0,,6,159.49,252,36,4000,"21,37","409,98",2,1,2,2,4,0,0
101,"1901,22 ",0,0,,6,180.23,180,36,4500,"21,37","829,84",1,1,2,2,4,0,0
102,"16144,20 ",0,0,,7,123.43,120,37,22000,"21,6","472,51",2,1,2,2,4,0,0
103,"2874,49 ",0,0,,8,251.12,60,36,6500,"19,49","666,30",1,1,2,2,5,0,1
104,"26517,49 ",0,0,,10,172.16,264,60,48000,"13,43","9281,76",1,1,2,2,4,0,0
105,"11967,67 ",0,0,,6,117.35,36,24,14000,31,"361,68",1,1,2,2,4,0,1
106,"20411,08 ",0,0,,6,142.15,120,36,25000,"21,6","1249,20",2,1,2,2,4,0,0
107,"10852,18 ",0,0,,10,96.04,12,36,15000,32,"721,27",1,1,2,2,4,0,0
108,"4698,65 ",16,0,,6,67.34,120,24,8000,32,"541,09",2,1,2,2,4,0,0
